,title,publication_date,cover_image
93,The TV-TS tapestry,1981,https://archive.org/services/img/tvtstapestry3219unse
94,"Les ""girls"" : boys will be girls",1981,https://archive.org/services/img/lesgirlsboyswill21unse
95,"Les ""girls"" : boys will be girls",1981,https://archive.org/services/img/lesgirlsboyswill1981unse
96,The TV-TS tapestry,1981,https://archive.org/services/img/tvtstapestry3319unse
97,Les girls : boys will be girls,1981,https://archive.org/services/img/lesgirlsboyswill00unse_0
98,The TV-TS tapestry,1982,https://archive.org/services/img/tvtstapestry3819unse
99,Female mimics international,1982,https://archive.org/services/img/femalemimicsinte1251unse
100,Female mimics international,1982,https://archive.org/services/img/femalemimicsinte1219unse
101,The TV-TS tapestry,1982,https://archive.org/services/img/tvtstapestry3619unse
102,Female mimics international,1982,https://archive.org/services/img/femalemimicsinte1231unse
103,Female mimics international,1982,https://archive.org/services/img/femalemimicsinte1221unse
104,The TV-TS tapestry,1982,https://archive.org/services/img/tvtstapestry3719unse
105,The TV-TS tapestry,1982,https://archive.org/services/img/tvtstapestry3519unse
106,Female mimics international,1982,https://archive.org/services/img/femalemimicsinte1241unse
107,The TV-TS tapestry,1982,https://archive.org/services/img/tvtstapestry3419unse
108,F.M.I. Female mimics international,1983,https://archive.org/services/img/fmifemalemimicsi1341unse
109,Drag,1983,https://archive.org/services/img/drag928unse
110,F.M.I. Female mimics international,1983,https://archive.org/services/img/fmifemalemimicsi1351unse
111,F.M.I. Female mimics international,1983,https://archive.org/services/img/fmifemalemimicsi1321unse
112,The TV-TS tapestry,1983,https://archive.org/services/img/tvtstapestry4019unse
113,Female mimics international,1983,https://archive.org/services/img/femalemimicsinte1311unse
114,Female mimics international,1983,https://archive.org/services/img/femalemimicsinte1261unse
115,F.M.I. Female mimics international,1983,https://archive.org/services/img/fmifemalemimicsi1331unse
116,The TV-TS tapestry,1983,https://archive.org/services/img/tvtstapestry3919unse
117,F.M.I. Female mimics international,1984,https://archive.org/services/img/fmifemalemimicsi1432unse
118,F.M.I. Female mimics international,1984,https://archive.org/services/img/fmifemalemimicsi1412unse
119,The TV-TS tapestry,1984,https://archive.org/services/img/tvtstapestry4419unse
120,F.M.I. Female mimics international,1984,https://archive.org/services/img/fmifemalemimicsi1362unse
121,The TV-TS tapestry,1984,https://archive.org/services/img/tvtstapestry4219unse
122,F.M.I. Female mimics international,1984,https://archive.org/services/img/fmifemalemimicsi1442unse
123,F.M.I. Female mimics international,1984,https://archive.org/services/img/fmifemalemimicsi1422unse
124,The TV-TS tapestry,1984,https://archive.org/services/img/tvtstapestry4319unse
125,The TV-TS tapestry,1984,https://archive.org/services/img/tvtstapestry4119unse
126,F.M.I. Female mimics international,1985,https://archive.org/services/img/fmifemalemimicsi1532unse
127,F.M.I. Female mimics international,1985,https://archive.org/services/img/fmifemalemimicsi1522unse
128,The TV-TS tapestry,1985,https://archive.org/services/img/tvtstapestry47unse
129,F.M.I. Female mimics international,1985,https://archive.org/services/img/fmifemalemimicsi1462unse
130,F.M.I. Female mimics international,1985,https://archive.org/services/img/fmifemalemimicsi1512unse
131,F.M.I. Female mimics international,1985,https://archive.org/services/img/fmifemalemimicsi1452unse
132,The TV-TS tapestry,1985,https://archive.org/services/img/tvtstapestry45unse
133,The TV-TS tapestry,1985,https://archive.org/services/img/tvtstapestry46unse
134,The TV-TS tapestry,1986,https://archive.org/services/img/tvtstapestry49unse
135,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1563unse
136,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1613unse
137,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1553unse
138,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1633unse
139,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1543unse
140,The TV-TS tapestry,1986,https://archive.org/services/img/tvtstapestry48unse
141,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1643unse
142,F.M.I. Female mimics international,1986,https://archive.org/services/img/fmifemalemimicsi1623unse
143,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimicsi1673unse
144,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimicsi1663unse
145,En femme magazine,1987,https://archive.org/services/img/enfemmemagazine1987unse_1
146,En femme magazine,1987,https://archive.org/services/img/enfemmemagazine1987unse
147,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimics1724unse_0
148,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimicsi1713unse
149,The TV-TS tapestry,1987,https://archive.org/services/img/tvtstapestry50unse
150,En femme magazine,1987,https://archive.org/services/img/enfemmemagazine1987unse_0
151,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimicsi1724unse
152,F.M.I. Female mimics international,1987,https://archive.org/services/img/fmifemalemimicsi1744unse
153,Ladylike,1987,https://archive.org/services/img/ladylike01unse
154,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse_1
